Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1 Spectral Count	C_10 Spectral Count	C_11 Spectral Count	C_12 Spectral Count	C_13 Spectral Count	C_14 Spectral Count	C_15 Spectral Count	C_16 Spectral Count	C_17 Spectral Count	C_18 Spectral Count	C_19 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	C_4 Spectral Count	C_5 Spectral Count	C_6 Spectral Count	C_7 Spectral Count	C_8 Spectral Count	C_9 Spectral Count	HCC_1 Spectral Count	HCC_10 Spectral Count	HCC_11 Spectral Count	HCC_12 Spectral Count	HCC_13 Spectral Count	HCC_14 Spectral Count	HCC_15 Spectral Count	HCC_16 Spectral Count	HCC_17 Spectral Count	HCC_18 Spectral Count	HCC_19 Spectral Count	HCC_2 Spectral Count	HCC_3 Spectral Count	HCC_4 Spectral Count	HCC_5 Spectral Count	HCC_6 Spectral Count	HCC_7 Spectral Count	HCC_8 Spectral Count	HCC_9 Spectral Count	C_1 Unique Spectral Count	C_10 Unique Spectral Count	C_11 Unique Spectral Count	C_12 Unique Spectral Count	C_13 Unique Spectral Count	C_14 Unique Spectral Count	C_15 Unique Spectral Count	C_16 Unique Spectral Count	C_17 Unique Spectral Count	C_18 Unique Spectral Count	C_19 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	C_4 Unique Spectral Count	C_5 Unique Spectral Count	C_6 Unique Spectral Count	C_7 Unique Spectral Count	C_8 Unique Spectral Count	C_9 Unique Spectral Count	HCC_1 Unique Spectral Count	HCC_10 Unique Spectral Count	HCC_11 Unique Spectral Count	HCC_12 Unique Spectral Count	HCC_13 Unique Spectral Count	HCC_14 Unique Spectral Count	HCC_15 Unique Spectral Count	HCC_16 Unique Spectral Count	HCC_17 Unique Spectral Count	HCC_18 Unique Spectral Count	HCC_19 Unique Spectral Count	HCC_2 Unique Spectral Count	HCC_3 Unique Spectral Count	HCC_4 Unique Spectral Count	HCC_5 Unique Spectral Count	HCC_6 Unique Spectral Count	HCC_7 Unique Spectral Count	HCC_8 Unique Spectral Count	HCC_9 Unique Spectral Count	C_1 Total Spectral Count	C_10 Total Spectral Count	C_11 Total Spectral Count	C_12 Total Spectral Count	C_13 Total Spectral Count	C_14 Total Spectral Count	C_15 Total Spectral Count	C_16 Total Spectral Count	C_17 Total Spectral Count	C_18 Total Spectral Count	C_19 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	C_4 Total Spectral Count	C_5 Total Spectral Count	C_6 Total Spectral Count	C_7 Total Spectral Count	C_8 Total Spectral Count	C_9 Total Spectral Count	HCC_1 Total Spectral Count	HCC_10 Total Spectral Count	HCC_11 Total Spectral Count	HCC_12 Total Spectral Count	HCC_13 Total Spectral Count	HCC_14 Total Spectral Count	HCC_15 Total Spectral Count	HCC_16 Total Spectral Count	HCC_17 Total Spectral Count	HCC_18 Total Spectral Count	HCC_19 Total Spectral Count	HCC_2 Total Spectral Count	HCC_3 Total Spectral Count	HCC_4 Total Spectral Count	HCC_5 Total Spectral Count	HCC_6 Total Spectral Count	HCC_7 Total Spectral Count	HCC_8 Total Spectral Count	HCC_9 Total Spectral Count	C_1 Intensity	C_10 Intensity	C_11 Intensity	C_12 Intensity	C_13 Intensity	C_14 Intensity	C_15 Intensity	C_16 Intensity	C_17 Intensity	C_18 Intensity	C_19 Intensity	C_2 Intensity	C_3 Intensity	C_4 Intensity	C_5 Intensity	C_6 Intensity	C_7 Intensity	C_8 Intensity	C_9 Intensity	HCC_1 Intensity	HCC_10 Intensity	HCC_11 Intensity	HCC_12 Intensity	HCC_13 Intensity	HCC_14 Intensity	HCC_15 Intensity	HCC_16 Intensity	HCC_17 Intensity	HCC_18 Intensity	HCC_19 Intensity	HCC_2 Intensity	HCC_3 Intensity	HCC_4 Intensity	HCC_5 Intensity	HCC_6 Intensity	HCC_7 Intensity	HCC_8 Intensity	HCC_9 Intensity	Indistinguishable Proteins
contam_sp|P00711|LALBA_BOVIN	P00711	LALBA_BOVIN	LALBA	142	Bos taurus	1:Experimental evidence at protein level	Alpha-lactalbumin	0.9986	0.9989	1	4	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2969402.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	735690.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1533340.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	3	84	84	84	3	2	2	2	3	3	3	1	1	1	3	3	3	2	2	4	3	3	2	3	1	2	2	2	3	2	3	1	1	3	3	1	1	2	2	2	2	2	3	2	2	2	3	3	3	1	1	1	3	3	3	2	2	4	3	3	2	3	1	2	2	2	3	2	3	1	1	3	3	1	1	2	2	2	2	2	3	2	2	2	3	3	3	1	1	1	3	3	3	2	2	4	3	3	2	3	1	2	2	2	3	2	3	1	1	3	3	1	1	2	2	2	2	2	5.925436E7	2.8398282E7	1.8229438E7	1.98023E7	2.419995E7	2.5967084E7	1.3548818E7	1.7187464E7	9438629.0	3755360.2	3.471736E7	3.54174E7	2.1497486E7	7610801.5	1.6151022E7	2.9929136E7	2.835958E7	1.4886525E7	8120372.0	6.2651392E7	1.9768092E7	3.2138328E7	1.5370511E7	1.679848E7	2.9953856E7	1.8494894E7	1.4303107E7	1.5897278E7	1.224963E7	3.42666E7	4.3211528E7	1.8252872E7	2.3524824E7	1.6421609E7	1.3958763E7	1.6954046E7	1.372201E7	5171942.5	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	0.6614	0.9944	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	18	123	123	578	10	3	14	3	1	0	2	0	0	1	1	1	2	0	3	3	9	0	4	0	2	3	30	1	7	0	4	0	1	0	3	0	0	3	0	0	11	1	10	3	14	3	1	0	2	0	0	1	1	1	2	0	3	3	9	0	4	0	2	3	30	1	7	0	4	0	1	0	3	0	0	3	0	0	11	1	18	17	28	15	13	14	17	13	12	10	11	11	14	12	10	9	23	7	11	14	15	15	43	18	17	12	15	20	14	13	12	15	9	19	18	11	22	11	1.2874503E7	3182184.8	2.6910104E7	1426437.9	176434.06	1911748.0	1025548.56	0.0	1029670.44	478128.84	352802.3	802098.1	859721.6	135878.67	1274149.5	2433001.5	1.1687895E7	966002.56	3606647.8	943722.4	2089162.8	2285876.5	1.46322848E8	1388242.9	1.2441039E7	319964.84	1817866.8	973402.6	652220.75	363894.2	7258757.5	0.0	0.0	2964898.0	1375573.1	0.0	2.2526638E7	659651.2	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9144	0.999	1	8	8	8	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	46617.438	50424.586	0.0	0.0	132847.72	101112.914	0.0	0.0	53000.363	0.0	0.0	0.0	175274.38	73726.45	0.0	49309.67	62214.242	155211.06	64594.78	0.0	0.0	0.0	0.0	205757.25	75695.97	0.0	0.0	408296.5	0.0	73681.93	0.0	232684.73	102123.36	0.0	197278.08	0.0	54760.934	150465.4	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	0.9019	0.9988	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122265.13	0.0	0.0	270297.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206994.95	0.0	0.0	0.0	0.0	0.0	sp|P04211|LV743_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9161	0.999	1	36	0	36	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	883987.06	1204773.4	861937.4	642224.9	2339834.5	1893113.6	439554.34	1029222.25	954839.25	346617.4	1885343.2	274530.78	338933.3	287947.62	428576.66	727601.7	616542.06	1854434.4	1033372.9	1007967.6	725933.4	767288.94	366351.88	3325329.5	979406.3	599707.6	398576.06	3075470.8	1173484.5	2345917.8	0.0	1399137.2	1062376.2	2026462.9	1044851.9	559230.6	1058241.8	708142.1	sp|P80748|LV321_HUMAN
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	0.9902	0.999	2	10	0	10	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	335700.75	999958.5	378438.53	74891.18	690645.7	683326.2	268006.28	120370.88	332541.72	0.0	293983.5	474890.25	518570.22	253905.05	279463.03	173419.95	465633.38	1776607.0	190424.02	560973.5	561485.9	483632.6	134522.94	699989.4	403685.28	409230.5	183394.56	1318356.6	355400.16	628238.1	237692.84	825282.94	968707.06	375383.28	474426.53	539863.94	1131688.8	161922.98	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-27	0.9158	0.999	1	8	0	8	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	294370.78	757363.75	126746.6	334982.28	589418.0	309861.38	161273.28	517528.75	451993.2	165267.89	423390.53	0.0	287942.25	108985.664	125973.18	0.0	0.0	553632.75	161253.88	0.0	0.0	0.0	0.0	870407.8	0.0	240328.44	119062.3	1058795.1	183608.2	748903.25	0.0	485147.7	1006748.7	573752.75	0.0	340717.78	242149.7	0.0	sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A087WW87|KV240_HUMAN	A0A087WW87	KV240_HUMAN	IGKV2-40	121	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-40	1.0	0.999	3	58	0	58	1	2	2	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	4	1	1	1	2	3	1	1	2	2	3	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	4	1	1	1	2	3	1	1	2	2	3	1	1	2	1	2154972.8	6664575.5	2823414.8	1580053.8	4670846.5	3106205.5	1331519.1	2774739.0	3636144.2	1003867.4	2711319.2	2600025.0	4596904.5	3458714.0	1984232.1	1418832.5	3126880.8	7767780.0	1835465.5	3094221.5	3627253.2	2411584.2	864994.75	1.0788066E7	1090787.9	1737137.2	998667.9	8194467.5	3292356.2	6519274.5	1164281.2	8046076.5	7290099.0	6989005.5	1964071.1	2694607.2	5504749.0	1123740.6	sp|P01614|KVD40_HUMAN
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	0.916	0.999	1	27	0	27	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	786513.56	1108913.2	536011.6	292654.84	1429172.5	531725.25	436914.25	740724.06	863922.8	349040.56	737170.94	0.0	651040.44	814305.5	270589.88	464462.94	582087.0	1032313.4	317305.72	1142979.6	514874.84	306145.16	188864.55	1460638.1	0.0	630744.6	0.0	2826894.0	993121.44	1945799.8	0.0	1104892.2	1685622.2	871030.94	938356.3	426698.56	742389.25	326108.7	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	0.9112	0.9989	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271424.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
