Protein,Gene,Protein Length,Organism,Description,C_1 ,C_10 ,C_11 ,C_12 ,C_13 ,C_14 ,C_15 ,C_16 ,C_17 ,C_18 ,C_19 ,C_2 ,C_3 ,C_4 ,C_5 ,C_6 ,C_7 ,C_8 ,C_9 ,HCC_1 ,HCC_10 ,HCC_11 ,HCC_12 ,HCC_13 ,HCC_14 ,HCC_15 ,HCC_16 ,HCC_17 ,HCC_18 ,HCC_19 ,HCC_2 ,HCC_3 ,HCC_4 ,HCC_5 ,HCC_6 ,HCC_7 ,HCC_8 ,HCC_9 
P00711,LALBA,142,Bos taurus,Alpha-lactalbumin,2969402.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735690.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1533340.5,0,0,0,0,0,0,0
P00761,,231,Sus scrofa,Trypsin,5.925436E7,2.8398282E7,1.8229438E7,1.98023E7,2.419995E7,2.5967084E7,1.3548818E7,1.7187464E7,9438629,3755360.2,3.471736E7,3.54174E7,2.1497486E7,7610801.5,1.6151022E7,2.9929136E7,2.835958E7,1.4886525E7,8120372,6.2651392E7,1.9768092E7,3.2138328E7,1.5370511E7,1.679848E7,2.9953856E7,1.8494894E7,1.4303107E7,1.5897278E7,1.224963E7,3.42666E7,4.3211528E7,1.8252872E7,2.3524824E7,1.6421609E7,1.3958763E7,1.6954046E7,1.372201E7,5171942.5
P02666,CSN2,224,Bos taurus,Beta-casein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02769,ALB,607,Bos taurus,Albumin,1.2874503E7,3182184.8,2.6910104E7,1426437.9,176434.06,1911748,1025548.56,0,1029670.44,478128.84,352802.3,802098.1,859721.6,135878.67,1274149.5,2433001.5,1.1687895E7,966002.56,3606647.8,943722.4,2089162.8,2285876.5,1.46322848E8,1388242.9,1.2441039E7,319964.84,1817866.8,973402.6,652220.75,363894.2,7258757.5,0,0,2964898,1375573.1,0,2.2526638E7,659651.2
A0A075B6I0,IGLV8-61,122,Homo sapiens,Immunoglobulin lambda variable 8-61,46617.438,50424.586,0,0,132847.72,101112.914,0,0,53000.363,0,0,0,175274.38,73726.45,0,49309.67,62214.242,155211.06,64594.78,0,0,0,0,205757.25,75695.97,0,0,408296.5,0,73681.93,0,232684.73,102123.36,0,197278.08,0,54760.934,150465.4
A0A075B6I9,IGLV7-46,117,Homo sapiens,Immunoglobulin lambda variable 7-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122265.13,0,0,270297.94,0,0,0,0,0,0,0,0,206994.95,0,0,0,0,0
A0A075B6K5,IGLV3-9,115,Homo sapiens,Immunoglobulin lambda variable 3-9,883987.06,1204773.4,861937.4,642224.9,2339834.5,1893113.6,439554.34,1029222.25,954839.25,346617.4,1885343.2,274530.78,338933.3,287947.62,428576.66,727601.7,616542.06,1854434.4,1033372.9,1007967.6,725933.4,767288.94,366351.88,3325329.5,979406.3,599707.6,398576.06,3075470.8,1173484.5,2345917.8,0,1399137.2,1062376.2,2026462.9,1044851.9,559230.6,1058241.8,708142.1
A0A075B6R9,IGKV2D-24,120,Homo sapiens,Probable non-functional immunoglobulin kappa variable 2D-24,335700.75,999958.5,378438.53,74891.18,690645.7,683326.2,268006.28,120370.88,332541.72,0,293983.5,474890.25,518570.22,253905.05,279463.03,173419.95,465633.38,1776607,190424.02,560973.5,561485.9,483632.6,134522.94,699989.4,403685.28,409230.5,183394.56,1318356.6,355400.16,628238.1,237692.84,825282.94,968707.06,375383.28,474426.53,539863.94,1131688.8,161922.98
A0A075B6S5,IGKV1-27,117,Homo sapiens,Immunoglobulin kappa variable 1-27,294370.78,757363.75,126746.6,334982.28,589418,309861.38,161273.28,517528.75,451993.2,165267.89,423390.53,0,287942.25,108985.664,125973.18,0,0,553632.75,161253.88,0,0,0,0,870407.8,0,240328.44,119062.3,1058795.1,183608.2,748903.25,0,485147.7,1006748.7,573752.75,0,340717.78,242149.7,0
A0A087WW87,IGKV2-40,121,Homo sapiens,Immunoglobulin kappa variable 2-40,2154972.8,6664575.5,2823414.8,1580053.8,4670846.5,3106205.5,1331519.1,2774739,3636144.2,1003867.4,2711319.2,2600025,4596904.5,3458714,1984232.1,1418832.5,3126880.8,7767780,1835465.5,3094221.5,3627253.2,2411584.2,864994.75,1.0788066E7,1090787.9,1737137.2,998667.9,8194467.5,3292356.2,6519274.5,1164281.2,8046076.5,7290099,6989005.5,1964071.1,2694607.2,5504749,1123740.6
A0A0A0MRZ8,IGKV3D-11,115,Homo sapiens,Immunoglobulin kappa variable 3D-11,786513.56,1108913.2,536011.6,292654.84,1429172.5,531725.25,436914.25,740724.06,863922.8,349040.56,737170.94,0,651040.44,814305.5,270589.88,464462.94,582087,1032313.4,317305.72,1142979.6,514874.84,306145.16,188864.55,1460638.1,0,630744.6,0,2826894,993121.44,1945799.8,0,1104892.2,1685622.2,871030.94,938356.3,426698.56,742389.25,326108.7
A0A0A0MS15,IGHV3-49,119,Homo sapiens,Immunoglobulin heavy variable 3-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271424.44,0,0,0,0,0,0,0,0
A0A0B4J1V0,IGHV3-15,119,Homo sapiens,Immunoglobulin heavy variable 3-15,0,446074.8,229239.95,103725.78,268119.44,129639.555,0,209241.16,212632.39,50176.11,0,0,271141.2,214446.08,98124.06,0,0,205861.16,0,0,199833.73,224060.72,0,598291.56,231977.34,63075.965,76772.625,585417.4,292237.2,137204.36,0,597155.75,763425.75,415095.88,392933.2,69111.43,485931.06,176625.23
A0A0B4J1X5,IGHV3-74,117,Homo sapiens,Immunoglobulin heavy variable 3-74,343598.06,1141206.5,357764.9,323565.62,841926.6,558409.7,301104.4,448038.78,501548.53,57799.926,616461,182496.81,317485.56,163728.39,0,0,163186.36,844775.2,81612.78,832977.2,439303.88,1114947.5,0,1538738.8,141230.27,629206.1,534576.3,2933148.8,275794.6,3312992,0,2158456,2201909.8,0,936170.5,595533.7,803308,383695.2
A0A0C4DH25,IGKV3D-20,116,Homo sapiens,Immunoglobulin kappa variable 3D-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560943.2,0,286577.6,0,0,0,0,0,0,0,0
A0A0C4DH38,IGHV5-51,117,Homo sapiens,Immunoglobulin heavy variable 5-51,0,0,202039.52,522965.2,1292426.5,1051643.1,0,306234.28,994635.9,166237.89,2309372.2,0,0,23297.973,0,0,428502.16,964447.25,0,125029.125,0,448456.94,0,1617525,0,48484.7,393274.03,3418526.8,677629.25,3821901,0,196081.72,700464.56,527881.6,0,1097704.2,963955.4,32617.16
A0A0C4DH43,IGHV2-70D,119,Homo sapiens,Immunoglobulin heavy variable 2-70D,0,0,0,61587.72,270611.8,0,0,0,134431.44,44556.324,0,33425.477,28704.047,53459.023,0,0,0,0,0,0,0,0,0,566098.8,0,0,0,347979.34,142988.31,123473.516,0,0,0,0,0,0,0,0
A0A2R8Y4L2,HNRNPA1L3,320,Homo sapiens,Heterogeneous nuclear ribonucleoprotein A1-like 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A494C1R9,TSPY9,314,Homo sapiens,Testis-specific Y-encoded protein 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026328.06,0,0,0,0,0,0,0,0,0,0,0
A0AV96,RBM47,593,Homo sapiens,RNA-binding protein 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203558.33,0,0,0,0,0,163243.89,0,0,247601.56,0,0,0,0,0,0,0,0
A0AVT1,UBA6,1052,Homo sapiens,Ubiquitin-like modifier-activating enzyme 6,61465.07,123597.88,77040.484,77063.51,128609.74,181565.64,88855.086,0,0,0,71903.26,156490.97,26983.23,59919.81,34092.97,86012.73,78143.15,58814.59,30639.154,534291.7,205053.7,2257453.5,66832.555,666796.1,107162.85,198332.58,51796.953,77178.64,0,3244321.8,104647.96,1531062.8,1567399.5,0,305453.25,387941.97,68641.33,102711.266
A0FGR8,ESYT2,921,Homo sapiens,Extended synaptotagmin-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179891.33,129219.38,0,0,0,0,65701.8,0,123200.05,0,985213.4,0,653218.06,0,0,0,0,0,235227.05
A0MZ66,SHTN1,631,Homo sapiens,Shootin-1,194085.88,1426900.5,460640.8,376153.28,286549.1,6511408,0,901330.06,862878.75,331651.97,95884.984,577922.25,202642.64,352501.25,194349.23,0,0,176195.73,181416.6,6391783,1362333.2,2.3185022E7,2342499.2,1.4183402E7,1.12957E7,5760791,3302223,3758923.2,3350177,307870.3,6036002.5,1.1402755E7,6549787.5,1448835.6,8872463,2847545.2,7042482,8325296
A1L0T0,HACL2,632,Homo sapiens,2-hydroxyacyl-CoA lyase 2,1400462.6,4554891,3292709.8,4590865,2003725.2,3394262.2,3124469.2,731431.94,4654234,877996.25,3055242,5194146.5,2058641.5,540674.2,61157.465,0,2118990.5,272043.84,831685.8,5253109,168359.73,4676585.5,2477591.2,330057.7,1306760.2,1188649.9,144283.67,289502.53,633358.2,998316.5,2962010.8,2.1838036E7,9644845,1266608.4,2586290.8,2827721,1604249.9,772907.75
A1X283,SH3PXD2B,911,Homo sapiens,SH3 and PX domain-containing protein 2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288003.44,333312.5,0,0,0,0,0,0,0,498766.8,0,0,0,0,0,0,0,0
A2RRP1,NBAS,2371,Homo sapiens,NBAS subunit of NRZ tethering complex,0,1564487.1,0,0,0,0,0,0,1865219.8,0,0,0,0,0,0,0,0,0,0,287427.53,0,0,0,1200439.1,0,135287.98,0,273558.78,0,0,1048478.75,769878.25,2562590,0,0,418923.97,0,0
A2RTX5,TARS3,802,Homo sapiens,"Threonine--tRNA ligase 2, cytoplasmic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68999.58,0,0,0,0,0,0,0,0
A2VDF0,FUOM,154,Homo sapiens,Fucose mutarotase,1.0825711E7,1.0386631E7,3510104.8,3072227.5,4366794,2805426.2,2286789.2,3295642,3734665.2,2001295.9,1688973.9,8480335,2783905.2,1059499.1,3846670.8,5469044,731381.75,4921159,6772544.5,0,129187.2,509430.7,104699.66,571899,2198478,2077235.6,642747.56,85143.016,1512093.9,0,8574982,1218575,4913119.5,3305765,0,33134.324,2910413.2,5805538
A3KMH1,VWA8,1905,Homo sapiens,von Willebrand factor A domain-containing protein 8,1886993.9,6117653,3447653.8,3298189.2,2232312,4194801.5,1593836.8,1190004,6568052,3466154,3382572.2,3295173.5,1368204,2620203.8,799968.56,121186.47,1605226,1498090,803184.1,5188442.5,1583919.5,3683827.2,1519476.4,3725213.8,3988682,1627300.6,688335.6,2561111.8,8431103,5186350.5,6949773,3746893,1.0659565E7,5279686.5,4136189.5,6120091,5539330,782649.8
A5YKK6,CNOT1,2376,Homo sapiens,CCR4-NOT transcription complex subunit 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88064.67,1237648.5,0,0,0,0,185667.95,0,201934.03,0,253857.06,0,5152428,0,0,0,0,0,0
A6NCC3,GOLGA8O,632,Homo sapiens,Golgin subfamily A member 8O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594247.5,0,0,0,0,0,1430517.4,0,0,0,0,0,0,0,0
A6NCS6,C2orf72,295,Homo sapiens,Uncharacterized protein C2orf72,0,768844.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173831.97,0,553127.3,77030.38,497985.8,0,248164.05,0,73953.1,0,0,368321.28,4672486,0,0,0,0,0,236840.38
A6ND91,ASPDH,283,Homo sapiens,Aspartate dehydrogenase domain-containing protein,1.0026758E7,6412781,3451645.5,8215293,4791718,3981468,4295192,1.2795451E7,5697938,3386064.8,4606180,6588467.5,2626681.8,2749108,6560093.5,5264407,3374060.5,5789471.5,9334035,1372853.2,0,445510.38,0,236377.66,4261002,239058.78,29855.07,116400.14,698905,0,7516062.5,73808.75,7928048,8004662.5,0,0,5030428.5,1875261.5
A6NDB9,PALM3,673,Homo sapiens,Paralemmin-3,92108.59,2229979.5,1201668.9,1492197.2,1331755.4,0,355570,454779.8,1003552.7,428218.16,815419.94,1307236.9,580150.56,547674.9,0,169001.34,485208.44,140431.78,217163.44,953275.56,2356801.8,110077.56,0,0,0,0,121500.69,157080.83,324978.66,0,0,900082.75,1379847.9,0,0,0,547392.94,448156.34
A6NDG6,PGP,321,Homo sapiens,Phosphoglycolate phosphatase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403525.84,133051.8,0,0,0,0,97725.47,0,73724.695,0,850961.3,0,488599.16,0,0,95460.25,0,0,0
A6NHL2,TUBAL3,446,Homo sapiens,Tubulin alpha chain-like 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526202.94,0,0,0,0,0,0,0,0
A6NLP5,TTC36,189,Homo sapiens,Tetratricopeptide repeat protein 36,1991172.8,1583665.2,76607.445,1425723.2,530328.1,99399.016,687293,2892216.8,1977978.8,400258.06,400286.2,2044029.8,1002852.5,0,917879.56,1989831.2,1065758.9,1056158.8,2036545.5,0,0,0,0,0,70174.76,0,0,0,0,0,798195.25,0,0,106124.09,0,0,177020.7,0
A6NMB1,SIGLEC16,481,Homo sapiens,Sialic acid-binding Ig-like lectin 16,1332046.1,0,2447056.8,793566.8,3634643.2,2551409.8,0,1245165.9,0,837696.44,4450290.5,0,1427299.8,0,1223437.2,2020493,1994235,2429344.8,0,3092031.8,1.3129611E7,0,1754298.8,8456585,1123281.4,0,0,0,1847745.1,0,0,0,0,0,0,0,970544.5,1496967.8
A8MT19,RHPN2P1,583,Homo sapiens,Putative rhophilin-2-like protein RHPN2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281559.4,0,0,0,0,0,0,0,0,0,0,137398.39,0,0,0,0,0,0
A8MWD9,SNRPGP15,76,Homo sapiens,Putative small nuclear ribonucleoprotein G-like protein 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193960.2,1547367.5,1775206.1,83628.47,0,0,484326.12,447041.56,153005.4,0,117759.305,0,3709876,0,0,79185.19,1068045.8,0,65783.34
A8MXV4,NUDT19,375,Homo sapiens,Acyl-coenzyme A diphosphatase NUDT19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474288,0,145421.34,579946.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1AK53,ESPN,854,Homo sapiens,Espin,0,459300.94,241331.02,404966.12,239980.61,0,0,409703.62,0,95781.52,0,193536.7,103898.73,0,235647.48,544858.06,180325.84,398395.94,221850.47,158526.62,0,397245.88,0,145953.86,170620.81,270587.06,0,0,310991.3,0,298615.2,0,1979180.6,172587.05,0,0,403033.28,320629.56
B7ZAQ6,GPHRA,455,Homo sapiens,Golgi pH regulator A,0,0,120640.83,0,48779.555,92069.1,137891.16,0,0,0,0,248241.7,237916.6,0,0,0,137138.72,0,0,189520.22,193885.06,0,0,0,249642.08,228009.5,0,111534.945,0,277859.97,300501.28,1224076.6,224027.84,0,128555.36,157360.48,0,97531.24
B7ZBB8,PPP1R3G,358,Homo sapiens,Protein phosphatase 1 regulatory subunit 3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2903872.8,0,0,0,0,0,0,136299.95,0,0,0,0,216202.64,0,0,0
B9A064,IGLL5,214,Homo sapiens,Immunoglobulin lambda-like polypeptide 5,2833338.8,5440367.5,2928418,2378312.8,4083457.5,5053527.5,1664882.6,2025606.1,2694028,1275554.8,3356155.8,2600990.8,1783660.1,4106686,1563587.2,1720299,2254780,5737691,2157014.2,3683670.2,3142302,3204648,536330.06,6391103,2507525.5,1801949.5,1213308,8111354,3719448,5562274,1967157,4287716,1.2000076E7,2501156,4281777.5,2202164.2,3366624,1551167.5
E9PAV3,NACA,2078,Homo sapiens,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",1.5470391E7,1.0559493E7,5054659,3549312.2,6067376.5,7883879.5,2969042,4724282.5,4983061,3086207.8,5045341.5,7021349,3814028.8,2831935.5,5475966.5,1.0470413E7,4894483.5,9085065,5424702,1.718621E7,8787148,1.0359166E7,1.0314741E7,9349353,8171331,6890371,5380912.5,5526616.5,5290557.5,1.3193092E7,1.0206076E7,2.4137066E7,1.758561E7,1.0249146E7,5333890.5,1.459502E7,6747849,6823258
L0R6Q1,SLC35A4,103,Homo sapiens,SLC35A4 upstream open reading frame protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119280.4,1351202.6,897089.25,1343843.2,0,0,0,524062.44,0,1716822.4,0,2888117,2118902.5,0,0,1719473.4,0,0
O00116,AGPS,658,Homo sapiens,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",652927,6367801.5,689449.44,503447.12,2806296.2,5307047,393454.22,0,1611541,332594.56,653816.4,3518309.8,206917.17,245353.02,0,310886.7,232668.28,585097.3,0,1930997.5,1846038.2,3784439.8,3278929.8,8896378,6123535,3186291.5,3933325.2,1580520.8,1208678.1,1367200.1,8976972,9492625,1.2415136E7,1113620.6,803437.7,1.9620658E7,509477.7,3311489.8
O00139,KIF2A,706,Homo sapiens,Kinesin-like protein KIF2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
